"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Eif3m",2.17670220459016e-34,-1.02200262084421,0.036,0.336,2.87825332512957e-30,"Neutrophils","Eif3m"
"Nsa2",3.25210076531997e-34,-1.10204287062849,0.046,0.352,4.3002528419826e-30,"Neutrophils","Nsa2"
"Slfn2",3.95642131845496e-34,0.924541475786405,0.9,0.477,5.231575909393e-30,"Neutrophils","Slfn2"
"Sumo2",4.06465725190392e-34,-1.07571440396887,0.185,0.453,5.37469628419256e-30,"Neutrophils","Sumo2"
"Eif3k",5.36068434795376e-34,-1.05549397039911,0.211,0.461,7.08843291329925e-30,"Neutrophils","Eif3k"
"Lmnb1",8.16287044767833e-34,1.39535429287886,0.669,0.156,1.07937635929651e-29,"Neutrophils","Lmnb1"
"Rab7",9.82479232997555e-34,0.750007433708277,0.877,0.43,1.29913228979267e-29,"Neutrophils","Rab7"
"Krtcap2",1.40824091503926e-33,-1.11775263992051,0.017,0.281,1.86211696195642e-29,"Neutrophils","Krtcap2"
"Isg15",1.72459498370031e-33,1.32215382551769,0.787,0.289,2.28043194694692e-29,"Neutrophils","Isg15"
"Sgms2",1.99209757645795e-33,1.02114897948277,0.615,0.094,2.63415062535035e-29,"Neutrophils","Sgms2"
"Cd300lf",3.01153463383689e-33,1.04000341497772,0.729,0.211,3.98215224632252e-29,"Neutrophils","Cd300lf"
"Cd44",3.68954338793712e-33,0.915281965693306,0.847,0.367,4.87868322186925e-29,"Neutrophils","Cd44"
"Sdcbp",8.27344179404899e-33,0.667729794623195,0.9,0.477,1.0939972084271e-28,"Neutrophils","Sdcbp"
"Lrrc25",9.09480031075985e-33,1.1089343357606,0.591,0.086,1.20260544509178e-28,"Neutrophils","Lrrc25"
"Mcemp1",9.67283378967679e-33,1.07598586446661,0.687,0.164,1.27903881200896e-28,"Neutrophils","Mcemp1"
"Junb",1.03042016074649e-32,0.870510569066738,0.925,0.555,1.36252457855509e-28,"Neutrophils","Junb"
"Slpi",1.36635099488245e-32,1.20322145645382,0.955,0.656,1.80672592053307e-28,"Neutrophils","Slpi"
"Tgm2",2.98091561466814e-32,1.37141259625616,0.626,0.117,3.94166471727569e-28,"Neutrophils","Tgm2"
"Ptpn18",3.4724796654305e-32,-1.00935896630258,0.099,0.297,4.59165986159875e-28,"Neutrophils","Ptpn18"
